Lag,Window,Total Trades,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,Efficiency Ratio
5,7,23138,33.77128533,26606.37,1.1498993,18.71,8.675336859,4.052226772,-0.46709734,-0.134343072,-45.67,0.092956608,75.53,31664.1,-5057.73,-6.437441457,0.641482726,2.098008791,1.059136501,1.1498993,8.559423889
7,7,23586,34.39752395,27613.63,1.170763589,19.29,8.668761055,4.033452484,-0.465285922,-0.145718223,-45.67,0.136598406,75.53,32723.4,-5109.77,-7.009313745,0.656226983,2.147133716,1.082168698,1.170763589,8.034435001
4,6,23909,34.26324815,27540.36,1.151882555,16.33,8.668388225,3.988918457,-0.460168414,-0.134914886,-45.67,0.094995608,75.53,32677.22,-5136.86,-6.125262283,0.65285585,2.125430504,1.064233261,1.151882555,8.537846284
6,7,23334,34.52901346,27497.71,1.178439616,17.24,8.662575401,4.040978032,-0.46648691,-0.140563984,-45.67,0.115501414,75.53,32558.16,-5060.45,-5.680120769,0.659360774,2.147367866,1.089896266,1.178439616,8.38365265
9,7,23742,34.44949878,27710.43,1.167148092,21.87,8.598717193,4.01669764,-0.467127544,-0.158724202,-45.67,0.18349802,75.53,32852.57,-5142.14,-6.630263546,0.657627859,2.126439951,1.077527758,1.167148092,7.353308938
8,7,23567,34.16217592,27045.12,1.147584334,16.22,8.581480963,3.998710719,-0.465969771,-0.154717189,-57.08,0.159084737,75.53,32193.62,-5148.5,-6.64552843,0.649684962,2.100363707,1.059262232,1.147584334,7.417303399
10,7,23791,35.19818419,28310.54,1.189968475,30.72,8.573019516,3.990020301,-0.465415982,-0.164145685,-45.67,0.190509436,75.53,33412.43,-5101.89,-7.454939508,0.675235214,2.14189094,1.102816687,1.189968475,7.249465455
12,7,23867,35.23693803,28301.69,1.185808438,26.13,8.551442091,3.974671819,-0.464795502,-0.170187707,-45.67,0.236165836,75.53,33426.99,-5125.3,-7.61240967,0.675698134,2.175275101,1.099536847,1.185808438,6.967650368
11,7,24054,35.1542363,28222.76,1.173308389,21.92,8.549056331,3.945943709,-0.461564827,-0.166309969,-45.67,0.209359774,75.53,33366.9,-5144.14,-7.860130754,0.673467742,2.171283067,1.087861138,1.173308389,7.05494923
1,3,24525,35.13149847,28698.04,1.170154536,26.66,8.535030779,3.93369429,-0.46088812,-0.110288277,-22.13,0.02331213,57.43,33892.71,-5194.67,-5.284931783,0.673895679,2.144151973,1.082994532,1.170154536,10.60996296
7,6,24474,35.5765302,28742.9,1.174425921,16.77,8.465563551,3.894340186,-0.460021375,-0.151638065,-45.67,0.161077061,75.53,33908.02,-5165.12,-6.714502008,0.683935293,2.183333903,1.08910938,1.174425921,7.744928177
5,6,24369,35.43025976,28477.41,1.168591653,17.87,8.398338665,3.896922631,-0.464011132,-0.144235299,-45.67,0.125301408,75.53,33646.03,-5168.62,-6.592774341,0.68081665,2.15643141,1.081079028,1.168591653,8.101981012
6,6,24604,35.72996261,28821.55,1.171417249,17.24,8.367090653,3.869703105,-0.462490878,-0.1460543,-45.67,0.138597383,75.53,34018.56,-5197.01,-5.712947799,0.687610381,2.15529683,1.085400412,1.171417249,8.020422872
2,4,25163,36.06088304,29396.87,1.168257759,24.5,8.350431732,3.812765043,-0.45659496,-0.115803759,-19.12,0.02923777,50.56,34597.03,-5200.16,-5.856461105,0.696185074,2.184191197,1.082973957,1.168257759,10.08825417
3,5,24656,35.77222583,28606.06,1.160206846,16.22,8.34999006,3.825994331,-0.458203459,-0.127603018,-45.67,0.064904283,50.46,33745.27,-5139.21,-5.79633503,0.689001717,2.18103518,1.074349449,1.160206846,9.092315125
12,6,24775,36.43995964,29546.9,1.192609485,26.13,8.337763537,3.845852902,-0.461257133,-0.174785066,-45.67,0.245390918,75.53,34720.36,-5173.46,-7.192262094,0.704727871,2.210067752,1.108252026,1.192609485,6.823291689
10,6,24771,36.53869444,29618.14,1.195678011,24.5,8.310066991,3.844775163,-0.462664762,-0.166776069,-45.67,0.192297445,75.53,34799.06,-5180.92,-7.66617897,0.707060308,2.16556338,1.111217551,1.195678011,7.169362003
11,6,25053,36.51059753,29660.69,1.183917694,21.92,8.298083163,3.812399694,-0.459431367,-0.170507724,-45.67,0.215546641,75.53,34872.02,-5211.33,-7.81808369,0.706190801,2.193228251,1.100239679,1.183917694,6.943484256
9,6,24854,35.81717229,29002.69,1.166922427,21.87,8.290015257,3.847310717,-0.464089703,-0.162420938,-45.67,0.20236984,75.53,34248.76,-5246.07,-6.597548916,0.689829262,2.138686686,1.080132013,1.166922427,7.184556618
8,6,24699,35.45487672,28255.37,1.143988421,16.22,8.284327567,3.825667466,-0.461795775,-0.160072877,-57.08,0.178702377,75.53,33501.37,-5246,-6.589916995,0.680161745,2.116795213,1.058319032,1.143988421,7.146672434
7,5,25456,36.58076681,29914.25,1.175135528,16.22,8.25206711,3.778157216,-0.457843734,-0.155336659,-45.67,0.186673476,50.56,35182.2,-5267.95,-7.018573153,0.707846132,2.196608135,1.091717896,1.175135528,7.565088196
4,5,25361,35.88975198,29109.39,1.147801349,16.33,8.233269443,3.781392002,-0.459281945,-0.142043689,-45.67,0.118878987,43.21,34418.23,-5308.84,-5.994665244,0.691007419,2.117854788,1.062685417,1.147801349,8.080621924
12,5,25625,37.45170732,30618.8,1.19488,24.5,8.158755685,3.736916745,-0.458025328,-0.172536195,-45.67,0.245409561,50.46,35863.19,-5244.39,-6.832404093,0.728831698,2.220573403,1.1130521,1.19488,6.925387448
6,5,25594,36.86020161,29777.89,1.163471517,17.24,8.130154029,3.713293407,-0.456731003,-0.150186763,-45.67,0.163061264,50.56,35031.21,-5253.32,-6.109452566,0.714539673,2.165332962,1.080348401,1.163471517,7.746831327
11,5,25974,37.42588743,30736.28,1.183347963,20.29,8.125694947,3.706595001,-0.456157292,-0.169355894,-45.67,0.225642181,50.56,36031.81,-5295.53,-7.570511194,0.728116069,2.22087957,1.101789695,1.183347963,6.98734442
10,5,25815,37.66802247,30933.17,1.198263413,28.92,8.114669742,3.723499589,-0.458860275,-0.166593066,-45.67,0.211332559,50.56,36207.31,-5274.14,-6.860467565,0.734086248,2.183751093,1.116551978,1.198263413,7.192756825
5,5,25766,36.8431266,30086.09,1.167666304,17.87,8.099667417,3.728263984,-0.460298404,-0.150077234,-45.67,0.153273694,42.66,35392.41,-5306.32,-6.400113864,0.714613588,2.169580858,1.082898939,1.167666304,7.780435958
8,5,25730,36.63816557,29602.29,1.150497085,16.22,8.085423612,3.705734592,-0.458322875,-0.162041974,-57.08,0.203948309,50.56,34933.96,-5331.67,-6.907910417,0.708562502,2.142424515,1.067311394,1.150497085,7.099994244
9,5,25835,36.93439133,30156.05,1.167255661,21.87,8.068478665,3.719227625,-0.460957732,-0.163384943,-45.67,0.214367718,61.34,35488.87,-5332.82,-6.436076495,0.716488013,2.156413101,1.082968286,1.167255661,7.144205826
3,4,26479,37.86774425,31122.77,1.175375581,24.5,7.992308038,3.633675077,-0.454646525,-0.127954228,-19.12,0.079393104,50.46,36434.86,-5312.09,-5.891119657,0.739455819,2.202375655,1.093508643,1.175375581,9.185906555
4,4,27216,37.68371546,31383.98,1.153144474,26.13,7.979619326,3.590993565,-0.450020661,-0.14521164,-41.99,0.13344393,43.21,36829.23,-5445.25,-6.921570658,0.734259422,2.186267027,1.072783641,1.153144474,7.941129734
7,4,26697,37.97804997,31378.45,1.175354909,24.5,7.94997173,3.627486932,-0.456289287,-0.160549125,-45.67,0.205747088,50.56,36779.09,-5400.64,-7.09559906,0.741268783,2.137594523,1.094649286,1.175354909,7.320842802
